Epoch: [1][25/360]	Time 0.156 (0.155)	Data 0.015 (0.015)	Loss 20.5880 (49.5238)	Count-loss 3.4450 (0.3689)	
Epoch: [1][30/360]	Time 0.156 (0.155)	Data 0.016 (0.015)	Loss 31.8383 (45.5894)	Count-loss 0.0566 (0.4693)	
Epoch: [1][35/360]	Time 0.156 (0.155)	Data 0.016 (0.015)	Loss 23.0165 (41.3452)	Count-loss 0.0234 (0.9883)	
Epoch: [1][40/360]	Time 0.156 (0.155)	Data 0.016 (0.015)	Loss 35.2457 (39.9628)	Count-loss 0.0159 (1.6577)	
Epoch: [1][45/360]	Time 0.156 (0.155)	Data 0.015 (0.015)	Loss 8.0799 (37.5551)	Count-loss 1.0550 (1.5394)	
Epoch: [1][50/360]	Time 0.156 (0.155)	Data 0.015 (0.015)	Loss 45.9347 (42.0465)	Count-loss 0.1241 (1.5319)	
Epoch: [1][55/360]	Time 0.156 (0.155)	Data 0.016 (0.015)	Loss 40.7351 (39.6418)	Count-loss 0.0294 (1.5696)	
Epoch: [1][60/360]	Time 0.155 (0.155)	Data 0.015 (0.015)	Loss 15.8044 (37.6500)	Count-loss 0.6957 (1.6789)	
Epoch: [1][65/360]	Time 0.156 (0.155)	Data 0.014 (0.015)	Loss 6.0387 (36.2272)	Count-loss 3.9823 (1.7037)	
Epoch: [1][70/360]	Time 0.156 (0.155)	Data 0.016 (0.015)	Loss 7.0684 (35.0897)	Count-loss 0.0094 (1.6621)	
Epoch: [1][75/360]	Time 0.155 (0.155)	Data 0.016 (0.015)	Loss 31.5388 (33.6744)	Count-loss 0.0468 (1.7803)	
Epoch: [1][80/360]	Time 0.156 (0.155)	Data 0.015 (0.015)	Loss 58.8553 (32.9366)	Count-loss 0.0927 (1.7473)	
Epoch: [1][85/360]	Time 0.156 (0.155)	Data 0.015 (0.015)	Loss 35.4497 (32.6572)	Count-loss 0.8192 (2.1013)	
Epoch: [1][90/360]	Time 0.156 (0.155)	Data 0.015 (0.015)	Loss 11.1631 (31.4007)	Count-loss 2.2399 (2.0843)	
Epoch: [1][95/360]	Time 0.156 (0.155)	Data 0.016 (0.015)	Loss 76.1429 (33.4690)	Count-loss 0.0022 (1.9795)	
Epoch: [1][100/360]	Time 0.156 (0.156)	Data 0.016 (0.015)	Loss 75.9406 (39.9705)	Count-loss 0.0611 (1.9227)	
Epoch: [1][105/360]	Time 0.157 (0.156)	Data 0.015 (0.015)	Loss 322.3889 (42.2051)	Count-loss 0.8974 (1.8984)	
